Order Id,Pickup Postal Code,Delivery Postal Code,Urgency,Capacity,Frozen,Job Price
151,138622,258500,Not Urgent,Document,No,20
152,415934,349758,Urgent,2.4m Van,No,7
153,528559,550202,Urgent,10Ft Lorry,No,7
154,358987,760737,Urgent,10Ft Lorry,No,8
155,768762,520943,Urgent,2.4m Van,No,16
156,596226,653293,Urgent,<120 cm (H+L+W) & max 10kg,No,7
157,608830,469985,Urgent,<80 cm (H+L+W) & max 5kg,No,7
158,619930,520119,Urgent,14Ft Lorry,Yes,7
159,596226,519941,Urgent,<80 cm (H+L+W) & max 5kg,Yes,7
160,427513,753357,Urgent,<80 cm (H+L+W) & max 5kg,No,13
161,596226,570303,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
162,596226,653293,Urgent,14Ft Lorry,Yes,7
163,608526,757047,Urgent,<80 cm (H+L+W) & max 5kg,No,13
164,486121,570189,Urgent,<120 cm (H+L+W) & max 10kg,No,7
165,728651,730129,Urgent,Document,No,7
166,758297,120416,Urgent,<120 cm (H+L+W) & max 10kg,No,7
167,738284,429079,Urgent,<160 cm (H+L+W) & max 20kg,No,7
168,619336,644197,Urgent,<120 cm (H+L+W) & max 10kg,No,7
169,596226,640604,Urgent,<60 cm (H+L+W) & max 1kg,No,7
170,619729,757054,Urgent,10Ft Lorry,No,7
171,758297,530657,Urgent,<120 cm (H+L+W) & max 10kg,No,7
172,539246,100066,Urgent,1.7m Van,Yes,7
173,728651,738244,Urgent,<120 cm (H+L+W) & max 10kg,No,10
174,728651,730521,Urgent,<100 cm (H+L+W) & max 8kg,No,7
175,573969,391056,Urgent,<200 cm (H+L+W) & max 25kg,No,12
176,486121,530555,Urgent,1.7m Van,No,9
177,169064,644659,Not Urgent,<200 cm (H+L+W) & max 25kg,No,16
178,536212,520283,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
179,758080,570455,Urgent,<60 cm (H+L+W) & max 1kg,No,7
180,419718,569761,Urgent,<60 cm (H+L+W) & max 1kg,No,12
181,738322,288908,Urgent,1.7m Van,No,9
182,757437,520888,Urgent,<160 cm (H+L+W) & max 20kg,No,9
183,728651,459972,Urgent,<100 cm (H+L+W) & max 8kg,No,7
184,738322,680017,Urgent,<60 cm (H+L+W) & max 1kg,No,7
185,159305,768897,Not Urgent,<60 cm (H+L+W) & max 1kg,No,15
186,208539,358146,Urgent,1.7m Van,Yes,7
187,486121,534027,Urgent,<120 cm (H+L+W) & max 10kg,No,9
188,637568,238859,Urgent,<100 cm (H+L+W) & max 8kg,No,26.8
189,619336,544779,Not Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
190,486121,389315,Urgent,<100 cm (H+L+W) & max 8kg,No,7
191,619729,520863,Urgent,<100 cm (H+L+W) & max 8kg,Yes,7
192,596226,520867,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
193,466584,465489,Urgent,<100 cm (H+L+W) & max 8kg,No,6
194,728651,670536,Urgent,<100 cm (H+L+W) & max 8kg,No,7
195,758297,521876,Urgent,Document,No,7
196,596226,524518,Urgent,<100 cm (H+L+W) & max 8kg,No,7
197,358987,457654,Not Urgent,<60 cm (H+L+W) & max 1kg,No,10
198,619729,824676,Urgent,<100 cm (H+L+W) & max 8kg,No,7
199,728651,805358,Urgent,<100 cm (H+L+W) & max 8kg,No,7
200,757437,440065,Urgent,<60 cm (H+L+W) & max 1kg,No,15
201,596226,550321,Urgent,<100 cm (H+L+W) & max 8kg,Yes,7
202,758297,530972,Urgent,10Ft Lorry,No,7
203,486121,650121,Urgent,<120 cm (H+L+W) & max 10kg,No,10
204,486121,510420,Urgent,1.7m Van,No,10
205,619930,544338,Urgent,<120 cm (H+L+W) & max 10kg,No,7
206,596226,528509,Urgent,<100 cm (H+L+W) & max 8kg,Yes,9
207,787472,101105,Urgent,<200 cm (H+L+W) & max 25kg,No,9
208,728651,730623,Urgent,1.7m Van,No,9
209,596226,575089,Urgent,<200 cm (H+L+W) & max 25kg,No,7
210,596226,650621,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
211,596226,640940,Urgent,<60 cm (H+L+W) & max 1kg,No,7
212,728651,457910,Urgent,<60 cm (H+L+W) & max 1kg,No,7
213,534057,823619,Not Urgent,1.7m Van,No,15
214,419718,541309,Urgent,<160 cm (H+L+W) & max 20kg,No,7
215,539231,767956,Urgent,<100 cm (H+L+W) & max 8kg,No,7
216,120727,510109,Urgent,<60 cm (H+L+W) & max 1kg,No,15
217,619831,460121,Urgent,<60 cm (H+L+W) & max 1kg,No,12
218,728651,466417,Urgent,1.7m Van,No,7
219,619729,530616,Urgent,<120 cm (H+L+W) & max 10kg,Yes,7
220,608830,597628,Urgent,<60 cm (H+L+W) & max 1kg,No,7
221,596226,574995,Urgent,<60 cm (H+L+W) & max 1kg,No,7
222,608830,100050,Urgent,10Ft Lorry,No,7
223,119982,275934,Urgent,<120 cm (H+L+W) & max 10kg,No,7
224,659544,276562,Urgent,Document,No,7
225,486121,738180,Urgent,2.4m Van,No,7
226,728651,730129,Urgent,10Ft Lorry,Yes,7
227,758297,752501,Urgent,10Ft Lorry,Yes,7
228,528559,789094,Urgent,2.4m Van,No,9
229,619729,286637,Urgent,<120 cm (H+L+W) & max 10kg,No,7
230,466584,560335,Urgent,<80 cm (H+L+W) & max 5kg,No,7
231,596226,398408,Urgent,14Ft Lorry,No,7
232,738450,510226,Urgent,<80 cm (H+L+W) & max 5kg,No,10
233,596226,673633,Urgent,<80 cm (H+L+W) & max 5kg,No,9
234,596226,689873,Urgent,<80 cm (H+L+W) & max 5kg,No,7
235,823259,822421,Urgent,<120 cm (H+L+W) & max 10kg,No,7
236,569880,823406,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
237,730777,118523,Urgent,<140 cm (H+L+W) & max 15kg,No,13
238,539231,600272,Urgent,<140 cm (H+L+W) & max 15kg,No,7
239,577183,541351,Urgent,10Ft Lorry,No,15
240,636997,670449,Urgent,1.7m Van,No,13
241,738322,822229,Urgent,<100 cm (H+L+W) & max 8kg,No,7
242,486121,822289,Urgent,<120 cm (H+L+W) & max 10kg,No,7
243,415936,068809,Urgent,2.4m Van,No,16
244,738322,737892,Urgent,<100 cm (H+L+W) & max 8kg,Yes,7
245,619729,310084,Urgent,<60 cm (H+L+W) & max 1kg,No,7
246,415936,538022,Urgent,1.7m Van,No,16
247,619336,562588,Urgent,<60 cm (H+L+W) & max 1kg,No,7
248,758297,460181,Urgent,<120 cm (H+L+W) & max 10kg,No,7
249,758297,628878,Urgent,<60 cm (H+L+W) & max 1kg,No,9
250,138588,619367,Urgent,1.7m Van,No,11
251,758297,530336,Urgent,14Ft Lorry,No,7
252,536212,543303,Urgent,2.4m Van,No,7
253,119982,425569,Urgent,<100 cm (H+L+W) & max 8kg,No,9
254,539231,118699,Urgent,<60 cm (H+L+W) & max 1kg,No,15
255,486121,544649,Urgent,Document,No,7
256,536212,670441,Urgent,<60 cm (H+L+W) & max 1kg,No,9
257,758075,536564,Urgent,<100 cm (H+L+W) & max 8kg,No,10
258,534138,520419,Urgent,<120 cm (H+L+W) & max 10kg,No,15
259,659544,560609,Urgent,<160 cm (H+L+W) & max 20kg,No,9
260,659544,469987,Urgent,<60 cm (H+L+W) & max 1kg,No,11
261,728651,542309,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
262,128409,541189,Urgent,10Ft Lorry,No,18
263,466584,406002,Urgent,<120 cm (H+L+W) & max 10kg,No,7
264,728664,823622,Urgent,Document,No,7
265,068906,641275,Urgent,2.4m Van,No,10
266,757437,598137,Not Urgent,10Ft Lorry,No,12
267,758297,557713,Urgent,10Ft Lorry,No,7
268,419718,563596,Urgent,2.4m Van,No,7
269,569880,160123,Urgent,<120 cm (H+L+W) & max 10kg,No,15
270,637780,530624,Urgent,<80 cm (H+L+W) & max 5kg,No,9
271,528559,248262,Urgent,14Ft Lorry,No,9
272,415934,680667,Urgent,<80 cm (H+L+W) & max 5kg,No,13
273,758096,460406,Urgent,<80 cm (H+L+W) & max 5kg,No,14
274,466584,540255,Not Urgent,<60 cm (H+L+W) & max 1kg,No,7
275,758297,520933,Urgent,14Ft Lorry,Yes,7
276,486121,149598,Urgent,<80 cm (H+L+W) & max 5kg,No,17
277,159305,540351,Urgent,<120 cm (H+L+W) & max 10kg,No,11
278,415936,522878,Not Urgent,<120 cm (H+L+W) & max 10kg,No,7
279,619729,561260,Urgent,<60 cm (H+L+W) & max 1kg,No,10
280,659544,828689,Urgent,1.7m Van,No,10
281,619336,730215,Urgent,14Ft Lorry,No,7
282,758297,681691,Urgent,2.4m Van,No,7
283,728651,544122,Urgent,<100 cm (H+L+W) & max 8kg,Yes,7
284,466584,560457,Urgent,<60 cm (H+L+W) & max 1kg,No,7
285,596226,437842,Urgent,Document,No,7
286,619860,828764,Not Urgent,<60 cm (H+L+W) & max 1kg,No,15
287,415936,823623,Urgent,<100 cm (H+L+W) & max 8kg,No,7
288,758297,670205,Urgent,<120 cm (H+L+W) & max 10kg,No,7
289,619729,823684,Urgent,<160 cm (H+L+W) & max 20kg,No,7
290,358987,509489,Urgent,<60 cm (H+L+W) & max 1kg,No,10
291,539231,550543,Not Urgent,<60 cm (H+L+W) & max 1kg,No,7
292,659544,357688,Urgent,10Ft Lorry,No,7
293,486121,574328,Urgent,<120 cm (H+L+W) & max 10kg,Yes,7
294,415936,160201,Urgent,Document,No,7
295,486121,321105,Not Urgent,2.4m Van,No,7
296,486121,640472,Urgent,10Ft Lorry,No,7
297,539231,311130,Urgent,10Ft Lorry,No,7
298,310116,579185,Urgent,2.4m Van,No,7
299,596226,643276,Urgent,<120 cm (H+L+W) & max 10kg,No,7
300,757437,467302,Urgent,<80 cm (H+L+W) & max 5kg,No,14
301,486121,398085,Urgent,14Ft Lorry,Yes,9
302,768762,440007,Urgent,<80 cm (H+L+W) & max 5kg,No,13
303,609040,458992,Urgent,<80 cm (H+L+W) & max 5kg,No,28
304,536212,460405,Urgent,<60 cm (H+L+W) & max 1kg,No,7
305,757437,267938,Urgent,14Ft Lorry,No,7
306,728651,460044,Urgent,<80 cm (H+L+W) & max 5kg,Yes,7
307,369551,682801,Urgent,<120 cm (H+L+W) & max 10kg,No,10
308,823259,545086,Urgent,<120 cm (H+L+W) & max 10kg,No,7
309,415936,670457,Urgent,<60 cm (H+L+W) & max 1kg,No,7
310,415936,640454,Urgent,<140 cm (H+L+W) & max 15kg,No,7
311,466584,520372,Urgent,<140 cm (H+L+W) & max 15kg,No,7
312,169064,530554,Urgent,10Ft Lorry,No,7
313,539231,140070,Urgent,1.7m Van,No,7
314,728651,544123,Urgent,<100 cm (H+L+W) & max 8kg,Yes,7
315,408613,760329,Urgent,<120 cm (H+L+W) & max 10kg,No,9
316,539231,307989,Urgent,2.4m Van,Yes,7
317,596226,239225,Urgent,<100 cm (H+L+W) & max 8kg,No,9
318,539231,529772,Urgent,<60 cm (H+L+W) & max 1kg,No,7
319,486121,602240,Not Urgent,1.7m Van,No,7
320,486121,670437,Urgent,<60 cm (H+L+W) & max 1kg,No,7
321,758297,680627,Urgent,<140 cm (H+L+W) & max 15kg,No,7
322,728651,479237,Urgent,<120 cm (H+L+W) & max 10kg,Yes,14
323,539246,507587,Urgent,<120 cm (H+L+W) & max 10kg,No,7
324,358987,573909,Urgent,<60 cm (H+L+W) & max 1kg,No,7
325,059805,541211,Urgent,1.7m Van,No,7
326,596226,267297,Urgent,14Ft Lorry,No,7
327,758297,659245,Not Urgent,2.4m Van,No,7
328,536197,078881,Urgent,<100 cm (H+L+W) & max 8kg,No,16
329,659544,350145,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
330,728651,673633,Urgent,Document,No,9
331,596226,828688,Not Urgent,<60 cm (H+L+W) & max 1kg,No,9
332,138628,138667,Urgent,<100 cm (H+L+W) & max 8kg,No,11
333,058833,573975,Urgent,<120 cm (H+L+W) & max 10kg,No,8
334,608830,120201,Urgent,<160 cm (H+L+W) & max 20kg,No,7
335,738450,680682,Urgent,<60 cm (H+L+W) & max 1kg,No,7
336,758297,430023,Urgent,<60 cm (H+L+W) & max 1kg,No,7
337,619930,458708,Urgent,10Ft Lorry,No,7
338,539231,469984,Urgent,<120 cm (H+L+W) & max 10kg,No,7
339,728651,543186,Urgent,Document,Yes,7
340,466584,670459,Urgent,2.4m Van,No,15
341,728651,683805,Urgent,10Ft Lorry,No,7
342,728651,101103,Urgent,<120 cm (H+L+W) & max 10kg,Yes,7
343,089064,550210,Urgent,<60 cm (H+L+W) & max 1kg,No,9
344,728651,121311,Urgent,1.7m Van,No,7
345,528559,439959,Urgent,14Ft Lorry,Yes,7
346,619729,560423,Urgent,2.4m Van,No,7
347,758297,320003,Urgent,<100 cm (H+L+W) & max 8kg,No,7
348,728651,750332,Urgent,<60 cm (H+L+W) & max 1kg,No,7
349,738322,680008,Urgent,Document,No,9
350,739175,159967,Urgent,<60 cm (H+L+W) & max 1kg,No,17
351,728651,730644,Urgent,<100 cm (H+L+W) & max 8kg,No,7
352,048623,049712,Urgent,<120 cm (H+L+W) & max 10kg,No,17
353,596226,669600,Urgent,<160 cm (H+L+W) & max 20kg,No,7
354,539231,550420,Urgent,<60 cm (H+L+W) & max 1kg,No,7
355,659544,423763,Urgent,<60 cm (H+L+W) & max 1kg,No,10
356,089064,200813,Urgent,10Ft Lorry,No,15
357,596226,520914,Urgent,<120 cm (H+L+W) & max 10kg,No,7
358,486121,730533,Urgent,Document,No,7
359,596226,679636,Urgent,2.4m Van,No,7
360,486121,768013,Urgent,10Ft Lorry,No,7
361,128420,618723,Urgent,10Ft Lorry,Yes,7
362,757437,520285,Urgent,2.4m Van,No,7
363,658064,530310,Urgent,<120 cm (H+L+W) & max 10kg,No,11
364,596226,642663,Urgent,<80 cm (H+L+W) & max 5kg,No,7
365,758297,688621,Urgent,14Ft Lorry,No,7
366,596226,737938,Urgent,<80 cm (H+L+W) & max 5kg,No,7
367,728651,148955,Urgent,<80 cm (H+L+W) & max 5kg,No,9
368,758297,530576,Urgent,<120 cm (H+L+W) & max 10kg,No,7
369,758297,682803,Urgent,<60 cm (H+L+W) & max 1kg,No,7
370,728651,680425,Urgent,1.7m Van,No,7
371,619729,574893,Urgent,14Ft Lorry,No,7
372,596226,268619,Urgent,2.4m Van,No,7
373,758297,310111,Urgent,<100 cm (H+L+W) & max 8kg,No,7
374,728651,579979,Urgent,<60 cm (H+L+W) & max 1kg,No,7
375,486121,544625,Urgent,Document,No,7
376,596226,652463,Urgent,<60 cm (H+L+W) & max 1kg,No,7
377,486121,737937,Urgent,<100 cm (H+L+W) & max 8kg,Yes,9
378,486121,730678,Urgent,<120 cm (H+L+W) & max 10kg,No,9
379,486121,763478,Urgent,<160 cm (H+L+W) & max 20kg,Yes,7
380,758297,461053,Urgent,<60 cm (H+L+W) & max 1kg,No,7
381,486121,730023,Urgent,<60 cm (H+L+W) & max 1kg,No,7
382,654289,597595,Urgent,10Ft Lorry,No,7
383,823259,651438,Urgent,<120 cm (H+L+W) & max 10kg,No,10
384,758297,680455,Urgent,Document,No,7
385,738284,368933,Urgent,2.4m Van,No,9
386,619831,821308,Urgent,10Ft Lorry,Yes,17
387,596226,730503,Urgent,10Ft Lorry,No,7
388,738322,530462,Urgent,2.4m Van,No,7
389,569511,763676,Urgent,<120 cm (H+L+W) & max 10kg,No,7
390,728651,649814,Urgent,<80 cm (H+L+W) & max 5kg,No,9
391,596226,730701,Urgent,14Ft Lorry,No,7
392,619729,573918,Urgent,<80 cm (H+L+W) & max 5kg,No,7
393,619336,311085,Urgent,<80 cm (H+L+W) & max 5kg,No,10
394,619115,807051,Urgent,<60 cm (H+L+W) & max 1kg,No,7
395,119982,542295,Urgent,14Ft Lorry,No,10
396,596226,643272,Urgent,<80 cm (H+L+W) & max 5kg,No,7
397,539231,479257,Urgent,<120 cm (H+L+W) & max 10kg,No,7
398,596226,670418,Urgent,<60 cm (H+L+W) & max 1kg,No,7
399,728651,752341,Urgent,1.7m Van,No,7
400,596226,730825,Not Urgent,14Ft Lorry,No,7
401,415934,658074,Urgent,2.4m Van,No,13
402,728651,575249,Urgent,<100 cm (H+L+W) & max 8kg,Yes,7
403,466584,579819,Urgent,<60 cm (H+L+W) & max 1kg,No,7
404,757437,688448,Not Urgent,Document,No,13
405,486121,528511,Urgent,<60 cm (H+L+W) & max 1kg,No,9
406,539231,559553,Urgent,<100 cm (H+L+W) & max 8kg,No,7
407,486121,680547,Urgent,<60 cm (H+L+W) & max 1kg,No,7
408,738284,760419,Urgent,1.7m Van,No,7
409,728651,470145,Urgent,14Ft Lorry,No,7
410,188379,438798,Urgent,2.4m Van,No,7
411,539231,338517,Urgent,<100 cm (H+L+W) & max 8kg,No,7
412,596226,560627,Urgent,<60 cm (H+L+W) & max 1kg,No,7
413,569870,759161,Urgent,Document,No,12
414,569511,518219,Urgent,<60 cm (H+L+W) & max 1kg,No,7
415,728651,576149,Urgent,<100 cm (H+L+W) & max 8kg,No,9
416,596226,127303,Urgent,<120 cm (H+L+W) & max 10kg,No,7
417,596226,520819,Urgent,<160 cm (H+L+W) & max 20kg,No,7
418,539231,520863,Urgent,<60 cm (H+L+W) & max 1kg,No,7
419,528559,128048,Urgent,<60 cm (H+L+W) & max 1kg,No,16
420,728651,357689,Urgent,10Ft Lorry,No,7
421,639577,286882,Urgent,<120 cm (H+L+W) & max 10kg,No,44
422,329857,670208,Urgent,Document,No,9
423,596226,680619,Urgent,2.4m Van,Yes,7
424,619729,427145,Not Urgent,<60 cm (H+L+W) & max 1kg,No,7
425,539231,560621,Urgent,1.7m Van,No,7
426,596226,531980,Urgent,14Ft Lorry,No,7
427,486121,680663,Urgent,2.4m Van,No,7
428,596226,730155,Not Urgent,<100 cm (H+L+W) & max 8kg,No,7
429,596226,238212,Urgent,<60 cm (H+L+W) & max 1kg,No,7
430,486121,670526,Urgent,Document,No,7
431,596226,159012,Urgent,<60 cm (H+L+W) & max 1kg,No,7
432,728651,579981,Urgent,<100 cm (H+L+W) & max 8kg,No,7
433,539231,542211,Urgent,<120 cm (H+L+W) & max 10kg,No,7
434,728651,652292,Urgent,<160 cm (H+L+W) & max 20kg,Yes,7
435,466584,520433,Urgent,<60 cm (H+L+W) & max 1kg,No,7
436,409839,797502,Urgent,<60 cm (H+L+W) & max 1kg,No,7
437,596226,680410,Urgent,10Ft Lorry,No,7
438,728651,650622,Urgent,<120 cm (H+L+W) & max 10kg,No,7
439,572505,678265,Urgent,Document,No,20
440,608830,309379,Urgent,2.4m Van,No,7
441,058781,680131,Urgent,10Ft Lorry,No,7
442,150037,141096,Urgent,10Ft Lorry,No,7
443,596226,678718,Urgent,2.4m Van,No,7
444,466584,120425,Urgent,<120 cm (H+L+W) & max 10kg,No,13
445,758297,730873,Urgent,<80 cm (H+L+W) & max 5kg,No,7
446,572505,050531,Urgent,<120 cm (H+L+W) & max 10kg,No,7
447,572505,519530,Urgent,<60 cm (H+L+W) & max 1kg,No,7
448,079903,759160,Urgent,<140 cm (H+L+W) & max 15kg,No,7
449,760851,400351,Urgent,<140 cm (H+L+W) & max 15kg,No,7
450,415936,120205,Urgent,10Ft Lorry,No,7
451,728651,200813,Urgent,1.7m Van,No,7
452,415936,650336,Urgent,<100 cm (H+L+W) & max 8kg,No,7
453,539231,807750,Urgent,<120 cm (H+L+W) & max 10kg,No,7
454,539231,380014,Urgent,2.4m Van,No,7
455,415936,758046,Urgent,<100 cm (H+L+W) & max 8kg,No,22
456,729570,648166,Urgent,<60 cm (H+L+W) & max 1kg,No,11
457,539231,650122,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
458,619930,558439,Urgent,1.7m Van,No,15
459,539231,541310,Urgent,14Ft Lorry,No,7
460,728651,470616,Urgent,2.4m Van,No,7
461,569880,609776,Urgent,<100 cm (H+L+W) & max 8kg,No,10
462,758297,640266,Urgent,<60 cm (H+L+W) & max 1kg,No,7
463,486121,640717,Urgent,Document,Yes,7
464,652449,521889,Urgent,<60 cm (H+L+W) & max 1kg,No,21
465,539231,229074,Urgent,<100 cm (H+L+W) & max 8kg,No,7
466,329363,310058,Urgent,<120 cm (H+L+W) & max 10kg,No,7
467,728651,140034,Urgent,<160 cm (H+L+W) & max 20kg,No,7
468,596226,238142,Urgent,<60 cm (H+L+W) & max 1kg,No,7
469,596226,598752,Urgent,1.7m Van,No,7
470,728651,730855,Urgent,14Ft Lorry,No,9
471,787472,521124,Urgent,2.4m Van,No,7
472,408564,339407,Urgent,<100 cm (H+L+W) & max 8kg,No,11
473,539246,271004,Urgent,<60 cm (H+L+W) & max 1kg,No,7
474,757437,597158,Urgent,Document,No,7
475,596226,600112,Urgent,<60 cm (H+L+W) & max 1kg,No,7
476,510505,228238,Urgent,<100 cm (H+L+W) & max 8kg,No,9
477,369551,828756,Urgent,<120 cm (H+L+W) & max 10kg,No,15
478,619729,642671,Urgent,<160 cm (H+L+W) & max 20kg,No,7
479,619729,681484,Urgent,<60 cm (H+L+W) & max 1kg,No,7
480,728651,828817,Urgent,<60 cm (H+L+W) & max 1kg,No,7
481,728654,752503,Urgent,10Ft Lorry,Yes,7
482,059805,797532,Urgent,<120 cm (H+L+W) & max 10kg,No,7
483,757437,787057,Urgent,Document,No,7
484,119982,683815,Urgent,2.4m Van,No,9
485,758297,520209,Urgent,10Ft Lorry,No,7
486,758075,575867,Not Urgent,2.4m Van,No,8
487,539231,545782,Urgent,<120 cm (H+L+W) & max 10kg,No,7
488,728651,730845,Urgent,<80 cm (H+L+W) & max 5kg,No,7
489,728651,570188,Urgent,14Ft Lorry,Yes,9
490,466584,133028,Not Urgent,<80 cm (H+L+W) & max 5kg,No,7
491,569511,488047,Urgent,<80 cm (H+L+W) & max 5kg,No,17
492,486121,270031,Urgent,<60 cm (H+L+W) & max 1kg,No,15
493,569511,520891,Urgent,14Ft Lorry,No,7
494,619930,680231,Urgent,<80 cm (H+L+W) & max 5kg,No,9
495,539231,522230,Urgent,<120 cm (H+L+W) & max 10kg,No,7
496,619729,530968,Urgent,<60 cm (H+L+W) & max 1kg,No,7
497,534138,038983,Urgent,1.7m Van,No,10
498,408731,239975,Urgent,14Ft Lorry,No,13
499,728651,530129,Urgent,2.4m Van,No,7
500,728651,560214,Urgent,<100 cm (H+L+W) & max 8kg,Yes,7
501,539231,760838,Urgent,<60 cm (H+L+W) & max 1kg,No,7
502,619729,760266,Urgent,Document,No,7
503,758297,573909,Urgent,<60 cm (H+L+W) & max 1kg,No,7
504,654289,670250,Urgent,<100 cm (H+L+W) & max 8kg,No,7
505,596226,680672,Urgent,<60 cm (H+L+W) & max 1kg,Yes,7
506,120727,339949,Urgent,<100 cm (H+L+W) & max 8kg,No,15
507,758297,680620,Urgent,<60 cm (H+L+W) & max 1kg,No,7
508,758297,650384,Urgent,Document,No,7
509,486121,821224,Urgent,<60 cm (H+L+W) & max 1kg,No,7
510,637780,518131,Not Urgent,<100 cm (H+L+W) & max 8kg,Yes,12
511,088652,449291,Urgent,<120 cm (H+L+W) & max 10kg,Yes,13
512,572273,099419,Urgent,<160 cm (H+L+W) & max 20kg,No,11
513,619729,330064,Urgent,<60 cm (H+L+W) & max 1kg,No,7
514,757437,465536,Not Urgent,1.7m Van,No,14
515,539231,792412,Urgent,14Ft Lorry,No,7
516,619930,757022,Urgent,2.4m Van,No,10
517,619336,538803,Urgent,<100 cm (H+L+W) & max 8kg,No,16
518,619831,788563,Urgent,<60 cm (H+L+W) & max 1kg,No,13
519,758080,680670,Urgent,Document,No,7
520,758297,793436,Urgent,<60 cm (H+L+W) & max 1kg,No,7
521,528559,768428,Urgent,<100 cm (H+L+W) & max 8kg,No,9
522,758297,440061,Urgent,<120 cm (H+L+W) & max 10kg,No,7
523,619729,682815,Urgent,<160 cm (H+L+W) & max 20kg,No,7
524,486121,640552,Urgent,<60 cm (H+L+W) & max 1kg,No,7
525,787472,520256,Urgent,14Ft Lorry,Yes,7
526,619729,680250,Urgent,<80 cm (H+L+W) & max 5kg,No,7
527,539231,534732,Urgent,<80 cm (H+L+W) & max 5kg,No,7
528,128420,319773,Urgent,<120 cm (H+L+W) & max 10kg,Yes,13
529,619729,679051,Urgent,<60 cm (H+L+W) & max 1kg,No,7
530,528559,823109,Urgent,1.7m Van,No,7
531,758297,149457,Urgent,14Ft Lorry,No,7
532,758297,730149,Urgent,2.4m Van,No,7
